p_PerfTitleClean,e_EventId
In 3rd piece Mr OBlarneys Description of London as17980508,1
In 2nd piece songs as in 3rd piece 12 Apr,1
In 2nd piece an ode The Wooden Walls of England the words by Henry,1
In 2nd piece Together let us range the fields Incledon Mrs Mountain Gallant Soldiers born to Arms Old England will be England still Incledon To arms,1
In 2nd piece The Scotch Ghost,1
In 2nd piece Mr OBlarneys Description of London as17980508,1
In 2nd piece La Verginella My dear Mollyoh,1
In 2nd piece Dances incidental to the Piece composed by Gentili,1
In 1st piece Sweet Echo 1st time Mme Mara accompanied on the hautboy W,1
In 1st piece Sweet Bird as17890126,1
Imposture Defeated Or A Trick To Cheat The Devil,1
Imonda,1
Il Burbero Di Buoncuore,1
Il Burbero Di Bu0n Cuore,1
Il Buona Figliuola,1
Ii Pittore Parigino,1
IV Double Jealousy,1
IV Double Hornpipe as17670427,1
IV Bartholomew Fair F,1
IV A New Musical Dialogue The Country Wedding written and set by T,1
IV A New Medley Dance 1st time calld the May Day Garland,1
IV A Hornpipe Miss Pitt End The Knife Grinders as17631012,1
IV A Favourite Ballad calld The Goldfinchs Address to Chloe Miss Young V The Country Wedding as17590423 but Lowe Miss Young,1
IV A Double Hornpipe Mas,1
IInterlude,1
III a Masquerade Scene  with Hark,1
III Wapping Landlady,1
III Villeneuve Mlle DeLaCointrie her 2nd appearance on English Stage IV Comic Dance J,1
III The Whim as17730426,1
III The Wapping Landlady,1
III The Reprizal or Titt for Tatt,1
IV Hornpipe Mas,1
In Act IV O,1
IV La Chacone des Characters,1
IV Rural Assembly,1
Ignoramus Or The Academical Lawyer,1
Ibrahim The Thirteenth Emperour Of The Turks,1
Ibrahim The Illustrious Bassa,1
Iannina E Bernardone,1
IV a New Grand Ballet that night only called The Festival of the Black PrinceAs performed at Paris by Fishar with universal applause,1
IV Tragical Imitations Miss Rose By Particular Desire End of Play Imitations of Mr and Mrs Cadwallader Mas,1
IV To thee oh gentle sleep,1
IV To thee O gentle sleep,1
IV The Wapping Landlady with Double Hornpipe,1
IV The Wapping Landlady Double Hornpipe as17690408,1
IV The May Day Garland,1
IV The Hunting Song in Admetus Mrs Wright accompanyed with Trumpets and French Horns ,1
IV The Frolick as17740416,1
IV The Drunken Peasant Morris The Clown W,1
IV Rural Grace as17771002 II afterpiece a Mock Minuet Palmer Miss Pope,1
IV Nancy,1
III The Reprizal,1
In Afterpiece Momus as17331231 ,1
In Chorusses as17970518 End II 2nd piece The Sea Storm by G,1
InterludePiety in Pattens,1
Interlude Scene from The Register Office,1
Interlude Hymen End Act III,1
