c_Performer,p_PerfTitleClean,p_PerfTitleClean
 spoken by Mrs Wells.  hathi.,The Beggars Opera,2
 the first Time of her appearance on this Stage,The Stratagem,4
 the first time of his appearance on any stage,The Devil to Pay,23
 the first time of his appearing on any stage,The Stratagem,1
 the first time of his appearing on that stage,The Stratagem,2
 the first time of his appearing on this stage,The Stratagem,1
 the late Duke of Buckingham. With new Musick proper to the Occasion,Hamlet,1
 the second time of his appearing on that stage in any speaking character,The Devil to Pay,1
 who never appeared on any stage before,The Beggars Opera,20
 who never appeared on stage before ,The Stratagem,1
 who never appeared on that stage or any other these 6 years.,The Beggars Opera,2
 who never appeared on this Stage before.,Hamlet,5
 who never perfomed before.,The Devil to Pay,1
 who never performed on that stage before.,The Beggars Opera,1
 who perform'd it originally,The Beggars Opera,1
$Cushing=.,Hamlet,1
$Hogan=,Hamlet,4
+Bardoleau,The Devil to Pay,1
+Mead,The Devil to Pay,1
.,Hamlet,4
.,Macbeth,24
.,The Beggars Opera,84
.,The Devil to Pay,18
.,The Stratagem,11
.  Decorations proper to the play.,Macbeth,3
.*a1755 10 10 dl The Lying Valet.  As17550916*c1755 10 10 dl,Macbeth,1
<i>Harvey,The Beggars Opera,1
<i>Hippisley,Macbeth,3
<i>London Magazine</i>.,The Stratagem,1
<i>Macklin,Macbeth,1
<i>Mattocks.,Macbeth,3
<i>Mr</i> Bannister ,The Beggars Opera,18
<i>Mr</i> Blissett,The Beggars Opera,13
<i>Mr</i> Davis.,The Beggars Opera,5
<i>Mr</i> Edwin,The Beggars Opera,18
<i>Mr</i> Kenny,The Beggars Opera,18
<i>Mr</i> Massey,The Beggars Opera,18
<i>Mr</i> Painter,The Beggars Opera,35
<i>Mr</i> R. Palmer,The Beggars Opera,18
<i>Mr</i> Stevens,The Beggars Opera,18
<i>Mr</i> Webb,The Beggars Opera,18
<i>Mr</i> Wewitzer,The Beggars Opera,18
<i>Mr</i> Wilson,The Beggars Opera,18
<i>Mr</i> Wood,The Beggars Opera,18
<i>Penkethman,Macbeth,1
<i>Quick,Macbeth,1
<i>Raftor.,Macbeth,7
<i>Reinhold,Macbeth,2
<i>Reinhold,The Stratagem,9
<i>Roger,The Beggars Opera,1
<i>Saunders,Hamlet,1
<i>Saunders,Macbeth,1
<i>Shuter,Macbeth,3
?,The Beggars Opera,3
A Gentleman,Hamlet,1
A Gentleman ,Hamlet,2
A Gentleman ,The Beggars Opera,3
A Gentleman being his first appearance in <i>Europe</i>,Hamlet,1
A Lady ,Macbeth,2
A Lady ,The Beggars Opera,3
A Lady ,The Stratagem,3
A Young Gentleman,The Beggars Opera,4
A Young Gentleman ,Hamlet,3
A Young Gentleman ,Macbeth,1
A Young Gentlewoman ,The Beggars Opera,1
A Young Lady,The Beggars Opera,6
A Young Lady ,The Beggars Opera,19
A Young Lady ,The Devil to Pay,1
A. Hallam,Hamlet,16
A. Hallam,Macbeth,12
A. Hallam,The Stratagem,1
A. Ryan,Macbeth,6
A. Ryan.,Macbeth,1
Abbot,Hamlet,5
Abbot,The Beggars Opera,9
Abbot,The Devil to Pay,3
Abbott,Hamlet,1
Abbott,The Beggars Opera,4
Ackman,Hamlet,52
Ackman,Macbeth,19
Ackman,The Beggars Opera,17
Ackman,The Stratagem,3
Ackman.,Hamlet,4
Adcock,Macbeth,1
Adcock,The Beggars Opera,1
Adcock,The Stratagem,1
Aickin,Hamlet,100
Aickin,Macbeth,121
Aickin,The Beggars Opera,23
Aickin,The Stratagem,34
Aickin ,Hamlet,1
Aickin ,Macbeth,1
Aiclcin,Hamlet,1
Aldridge ,The Beggars Opera,1
Alfred,Hamlet,5
Alfred,The Beggars Opera,2
Alfred,The Devil to Pay,32
Alfred,The Stratagem,3
Alfred.,The Devil to Pay,1
Allen,The Beggars Opera,165
Allen,The Devil to Pay,10
Allen.,The Beggars Opera,2
Allen.,The Devil to Pay,5
Anderson,Hamlet,54
Anderson,Macbeth,42
Anderson,The Beggars Opera,283
Anderson,The Devil to Pay,16
Anderson,The Stratagem,44
Archer,Hamlet,6
Arnauld,The Devil to Pay,5
Arnauld ,Macbeth,4
Arnauld.,Macbeth,5
Arthur,Hamlet,25
Arthur,Macbeth,54
Arthur,The Beggars Opera,73
Arthur,The Devil to Pay,2
Arthur,The Stratagem,4
Arthur.,Hamlet,1
Arthur.,The Beggars Opera,1
Arthur.,The Devil to Pay,1
Aston,Hamlet,1
Aston,Macbeth,12
Aston,The Beggars Opera,1
Aston Jr,The Stratagem,1
Aston.,The Stratagem,2
Atkins,The Beggars Opera,20
Atkins.,The Beggars Opera,8
Austin,Hamlet,12
Austin,Macbeth,4
Ayres,The Stratagem,2
Baddeley,Hamlet,101
Baddeley,The Beggars Opera,44
Baddeley,The Devil to Pay,26
Baddeley,The Stratagem,7
Baddeley ,Hamlet,1
Baddeley.,Hamlet,1
Baker,Hamlet,3
Baker,Macbeth,81
Baker,The Beggars Opera,277
Baker,The Devil to Pay,12
Baker,The Stratagem,12
Bakerirst time.,Hamlet,1
Balkes,The Beggars Opera,11
Banberry first time in that character,Hamlet,1
Banks,Macbeth,28
Banks,The Beggars Opera,2
Banks,The Devil to Pay,5
Bannister,Hamlet,4
Bannister,Macbeth,82
Bannister,The Beggars Opera,36
Bannister,The Devil to Pay,1
Bannister,The Stratagem,8
Bannister ,The Beggars Opera,9
Bannister Jun.,Hamlet,8
Bannister Jun.,The Beggars Opera,2
Bannister Jun.,The Devil to Pay,51
Bannister Jun.,The Stratagem,2
Bannister Jun. ,Hamlet,1
Bannister Jun. ,The Devil to Pay,2
Bannister Jun. ,The Stratagem,1
Bannister.,The Beggars Opera,2
Bannister.  hathi.,The Beggars Opera,1
Barcock,The Stratagem,1
Barden,Hamlet,3
Barden,The Beggars Opera,8
Barden,The Stratagem,2
Bardin,Hamlet,15
Bardin,Macbeth,5
Bardin,The Beggars Opera,6
Bardin,The Stratagem,2
Bardin.,The Beggars Opera,1
Barlow,The Devil to Pay,2
Barnet,Macbeth,6
Barnshaw,Macbeth,1
Barnshaw,The Devil to Pay,8
Barrett,Hamlet,3
Barrett,The Beggars Opera,3
Barrett,The Stratagem,3
Barrett.,Hamlet,3
Barrington,The Beggars Opera,53
Barrington,The Devil to Pay,3
Barrington,The Stratagem,65
Barrington ,The Stratagem,3
Barrington.,The Devil to Pay,11
Barry,Hamlet,29
Barry,Macbeth,33
Barry,The Beggars Opera,4
Barry 1st time,Hamlet,2
Barry.,Hamlet,2
Barry.,Macbeth,3
Barrymore,Hamlet,57
Barrymore,Macbeth,38
Barrymore,The Beggars Opera,5
Barrymore,The Devil to Pay,14
Barrymore,The Stratagem,6
Barrymore ,Macbeth,1
Bates,The Beggars Opera,5
Bates.,The Beggars Opera,3
Baylor,The Devil to Pay,8
Beale,The Stratagem,9
Beard,Macbeth,42
Beard,The Beggars Opera,142
Beard,The Devil to Pay,141
Beard.,Macbeth,1
Beard.,The Beggars Opera,6
Beard.,The Devil to Pay,1
Beard1st time here in 12 years,The Beggars Opera,49
Beatrice Boitar,The Beggars Opera,15
Beckham,The Beggars Opera,5
Bellamy ,The Stratagem,1
Bencraft,Hamlet,43
Bencraft,Macbeth,30
Bencraft,The Beggars Opera,132
Bencraft,The Stratagem,25
Bencraft.,Hamlet,4
Bendler.,Hamlet,1
Benet,The Beggars Opera,12
Benj. Turbutt,The Stratagem,1
Bennald,The Devil to Pay,1
Bennet,Hamlet,32
Bennet,Macbeth,38
Bennet,The Beggars Opera,225
Bennet,The Devil to Pay,68
Bennet,The Stratagem,26
Bennet $Vernon= will introduce in character <i>The Early Horn</i>.,The Devil to Pay,3
Bensley,Hamlet,56
Bensley,Macbeth,73
Bensley,The Beggars Opera,1
Bensley,The Stratagem,23
Bensley ,Macbeth,11
