c_Performer,p_PerfTitleClean,p_PerfTitleClean
Mrs Davenett,The Beggars Opera,13
Mrs Davenett,The Devil to Pay,2
Mrs Davenett,The Stratagem,5
Mrs Davenett Diana Trapes-Mrs Pitt,The Beggars Opera,5
Mrs Davenport,Hamlet,1
Mrs Davenport,The Beggars Opera,17
Mrs Davenport.,The Beggars Opera,1
Mrs Davies,Hamlet,2
Mrs Davies,Macbeth,1
Mrs Davies,The Beggars Opera,17
Mrs Davies,The Stratagem,46
Mrs Davies.,The Stratagem,4
Mrs Dibdin,The Devil to Pay,1
Mrs Didier.,The Devil to Pay,1
Mrs Dorman,The Beggars Opera,1
Mrs Dove,The Beggars Opera,13
Mrs Dove,The Devil to Pay,1
Mrs Dove,The Stratagem,1
Mrs DuBellamy,Hamlet,2
Mrs DuBellamy.,Hamlet,1
Mrs DuBellamy.,The Beggars Opera,3
Mrs Dyer,The Beggars Opera,4
Mrs Dyer,The Devil to Pay,5
Mrs Dyer.,The Stratagem,1
Mrs E. Giffard,The Stratagem,4
Mrs Edward,Hamlet,1
Mrs Edward,The Beggars Opera,4
Mrs Edward.,The Beggars Opera,1
Mrs Edwards,The Beggars Opera,5
Mrs Edwards,The Devil to Pay,13
Mrs Edwin,The Beggars Opera,3
Mrs Egerton,Hamlet,3
Mrs Egerton,The Beggars Opera,1
Mrs Egerton,The Stratagem,12
Mrs Egleton,Hamlet,1
Mrs Egleton,The Beggars Opera,4
Mrs Egleton,The Stratagem,31
Mrs Egleton.,The Beggars Opera,18
Mrs Egleton.,The Stratagem,2
Mrs Elcock,The Beggars Opera,1
Mrs Elizabeth Giffard,The Stratagem,1
Mrs Elmy,Hamlet,16
Mrs Elmy,Macbeth,1
Mrs Elmy,The Beggars Opera,1
Mrs Elmy,The Stratagem,8
Mrs Elmy.,Hamlet,11
Mrs Elmy.,The Beggars Opera,1
Mrs Elsam,The Stratagem,2
Mrs Este. With a New Occasional Prologue ,The Stratagem,1
Mrs Esten,Macbeth,1
Mrs Esten.,Hamlet,8
Mrs Esten. Rock,Hamlet,1
Mrs Evans,Macbeth,2
Mrs Evans,The Beggars Opera,4
Mrs Farrell,The Beggars Opera,3
Mrs Farrell ,The Beggars Opera,18
Mrs Fawcett,Hamlet,4
Mrs Fawcett,The Devil to Pay,2
Mrs Ferguson,Hamlet,10
Mrs Ferguson,The Beggars Opera,124
Mrs Ferguson,The Stratagem,17
Mrs Ferguson.,Hamlet,1
Mrs Ferguson.,The Beggars Opera,1
Mrs Ferguson.,The Stratagem,2
Mrs Fitzgerald,The Stratagem,1
Mrs Follett,The Beggars Opera,6
Mrs Forrester,Hamlet,1
Mrs Forrester,The Beggars Opera,32
Mrs Forrester.,The Beggars Opera,2
Mrs Forster,Hamlet,8
Mrs Fox,The Beggars Opera,2
Mrs Freeman,The Beggars Opera,1
Mrs Freeman,The Devil to Pay,1
Mrs Freeman.,The Beggars Opera,1
Mrs Furnival,Hamlet,3
Mrs Furnival,Macbeth,1
Mrs Furnival,The Stratagem,7
Mrs Furnival from <i>Dublin</i>.,Macbeth,4
Mrs Gale,The Stratagem,1
Mrs Gardner,The Beggars Opera,11
Mrs Gardner,The Stratagem,2
Mrs Gawdry,The Beggars Opera,1
Mrs George,The Beggars Opera,1
Mrs Gibbs.,The Beggars Opera,2
Mrs Giffard,Hamlet,10
Mrs Giffard,Macbeth,14
Mrs Giffard,The Beggars Opera,17
Mrs Giffard,The Stratagem,26
Mrs Giffard ,Hamlet,1
Mrs Giffard.,Hamlet,13
Mrs Giffard.,Macbeth,5
Mrs Giffard.,The Stratagem,6
Mrs Giffiths,The Beggars Opera,5
Mrs Gilbert,The Beggars Opera,2
Mrs Glen,Macbeth,2
Mrs Goodall,The Devil to Pay,13
Mrs Goodall.,The Stratagem,1
Mrs Grace,The Beggars Opera,25
Mrs Grace,The Devil to Pay,58
Mrs Grace ,The Devil to Pay,6
Mrs Grace.,The Beggars Opera,21
Mrs Grace.,The Devil to Pay,1
Mrs Grace. With a Prologue and Epilogue address'd to the Town ,The Devil to Pay,12
Mrs Graham,The Beggars Opera,4
Mrs Graham.,The Stratagem,1
Mrs Granger,The Devil to Pay,1
Mrs Gregory.,Macbeth,1
Mrs Greville,The Beggars Opera,2
Mrs Griffin,The Stratagem,1
Mrs Griffith.,The Beggars Opera,5
Mrs Griffiths,The Beggars Opera,5
Mrs Gross,The Beggars Opera,1
Mrs Gulick.,The Stratagem,1
Mrs H. Johnston ,Hamlet,2
Mrs Hale,Macbeth,6
Mrs Hale,The Beggars Opera,3
Mrs Hale,The Stratagem,15
Mrs Hallam,Hamlet,18
Mrs Hallam,Macbeth,24
Mrs Hallam,The Stratagem,3
Mrs Hallam.,The Stratagem,2
Mrs Hamilton,Hamlet,6
Mrs Hamilton,Macbeth,11
Mrs Hamilton,The Beggars Opera,4
Mrs Hamilton,The Devil to Pay,1
Mrs Hamilton,The Stratagem,15
Mrs Hamilton ,Hamlet,5
Mrs Hamilton.,The Beggars Opera,54
Mrs Hamilton.,The Stratagem,8
Mrs Harlowe,Hamlet,3
Mrs Harlowe,The Beggars Opera,3
Mrs Harlowe.,The Beggars Opera,1
Mrs Harrison,The Beggars Opera,1
Mrs Hart,The Beggars Opera,6
Mrs Hartley,Macbeth,3
Mrs Hartley.,Macbeth,9
Mrs Haskey,The Beggars Opera,4
Mrs Haskey,The Devil to Pay,1
Mrs Haughton,Hamlet,23
Mrs Haughton,The Beggars Opera,10
Mrs Haughton,The Devil to Pay,2
Mrs Haughton,The Stratagem,7
Mrs Haughton ,Macbeth,1
Mrs Haughton.,Hamlet,4
Mrs Havard,The Beggars Opera,56
Mrs Havard,The Devil to Pay,5
Mrs Havard.,The Beggars Opera,1
Mrs Heard,The Beggars Opera,2
Mrs Heard,The Stratagem,2
Mrs Heard.  hathi.,The Beggars Opera,1
Mrs Hedges,Hamlet,15
Mrs Hedges,The Beggars Opera,1
Mrs Hedges ,The Stratagem,1
Mrs Henley,The Beggars Opera,2
Mrs Heron,The Stratagem,11
Mrs Heron.,The Stratagem,2
Mrs Hill,The Beggars Opera,6
Mrs Hippisley.,Hamlet,2
Mrs Hitchcock,Hamlet,9
Mrs Hitchcock,The Beggars Opera,10
Mrs Hitchcock,The Stratagem,4
Mrs Hitchcock.,The Beggars Opera,2
Mrs Holiday,The Beggars Opera,1
Mrs Hooper,The Beggars Opera,4
Mrs Hooper ,The Devil to Pay,1
Mrs Hooper her first time here,The Beggars Opera,1
Mrs Hopkins,Hamlet,41
Mrs Hopkins,The Beggars Opera,32
Mrs Hopkins ,Hamlet,18
Mrs Hopkins ,The Beggars Opera,4
Mrs Hopkins.,Hamlet,28
Mrs Hopkins.,Macbeth,1
Mrs Horsington,The Beggars Opera,8
Mrs Horsington,The Devil to Pay,1
Mrs Horsington,The Stratagem,9
Mrs Horsington.,Hamlet,1
Mrs Horsington.,The Beggars Opera,4
Mrs Horton,Hamlet,6
Mrs Horton,Macbeth,32
Mrs Horton,The Stratagem,36
Mrs Horton ,The Stratagem,1
Mrs Horton.,Macbeth,7
Mrs Horton.,The Beggars Opera,1
Mrs Horton.,The Stratagem,5
Mrs Houghton,The Stratagem,1
Mrs Houghton ,The Stratagem,1
Mrs Hull,Hamlet,1
Mrs Hunt ,The Devil to Pay,1
Mrs Hunter,Hamlet,3
Mrs Hunter.,Hamlet,10
Mrs Iliff,The Beggars Opera,2
Mrs Inchbald,Hamlet,6
Mrs Inchbald,The Beggars Opera,13
Mrs Invill,The Beggars Opera,3
Mrs Jackson,Hamlet,4
Mrs Jackson,Macbeth,1
Mrs Jackson,The Beggars Opera,15
Mrs Jackson,The Stratagem,1
Mrs Jackson.,Hamlet,1
Mrs Jackson.,Macbeth,2
Mrs James,Hamlet,7
Mrs James,The Beggars Opera,2
Mrs James,The Stratagem,11
Mrs James.,The Beggars Opera,2
Mrs James.,The Stratagem,2
Mrs Jefferies,Hamlet,1
Mrs Jefferies,The Beggars Opera,1
Mrs Jefferson,Macbeth,2
Mrs Jefferys,The Stratagem,1
Mrs Jeffreys ,The Beggars Opera,1
Mrs Jewell,The Beggars Opera,5
Mrs Jewell.,Hamlet,1
Mrs Jewell.,The Beggars Opera,3
Mrs Johnson,Hamlet,14
Mrs Johnson,The Beggars Opera,5
Mrs Johnson ,Macbeth,1
Mrs Johnson ,The Beggars Opera,1
Mrs Johnston,Hamlet,32
Mrs Johnston,The Beggars Opera,11
Mrs Johnston,The Devil to Pay,23
Mrs Johnston,The Stratagem,2
Mrs Johnston ,Hamlet,2
Mrs Johnston.,Hamlet,3
Mrs Johnston.,The Beggars Opera,1
Mrs Johnston.,The Devil to Pay,7
Mrs Jones,The Beggars Opera,17
Mrs Jones,The Stratagem,2
Mrs Jones ,The Devil to Pay,3
Mrs Jones.,The Beggars Opera,1
Mrs Jordan,Hamlet,24
Mrs Jordan,The Devil to Pay,14
Mrs Jordan ,Hamlet,4
Mrs Jordan.,Hamlet,5
Mrs Jordan.,The Devil to Pay,75
Mrs Keeffe,The Stratagem,1
Mrs Kemble,The Devil to Pay,13
Mrs Kemble,The Stratagem,3
Mrs Kemble ,Hamlet,2
Mrs Kemble ,The Devil to Pay,1
Mrs Kemble.,Hamlet,3
Mrs Kemble.,The Devil to Pay,1
Mrs Kennedy,The Beggars Opera,25
Mrs Kennedy,The Devil to Pay,1
Mrs Kennedy,The Stratagem,3
Mrs Kennedy ,The Beggars Opera,3
Mrs Kilby,The Beggars Opera,25
Mrs Kilby,The Devil to Pay,27
Mrs Kilby,The Stratagem,1
Mrs Kilby ,Macbeth,1
Mrs Kilby ,The Beggars Opera,2
Mrs Kilby.,The Beggars Opera,4
Mrs Kilby.,The Devil to Pay,10
Mrs Kilby.,The Stratagem,1
Mrs Kilby.  hathi.,The Beggars Opera,9
Mrs King,Macbeth,1
Mrs King,The Beggars Opera,18
Mrs King.,The Beggars Opera,5
Mrs King.,The Stratagem,9
Mrs Kirby,The Beggars Opera,4
Mrs Kirby,The Devil to Pay,1
Mrs Knight,Hamlet,15
Mrs Knight,Macbeth,8
Mrs Knight,The Beggars Opera,1
Mrs Knight.,Hamlet,2
Mrs Kniveton,The Stratagem,8
Mrs Lacy,The Beggars Opera,2
Mrs Lacy,The Stratagem,2
Mrs Laguerre,The Stratagem,4
Mrs Laguerre.,The Stratagem,8
Mrs Lamball,Macbeth,1
Mrs Lamball,The Beggars Opera,2
Mrs Lamball,The Stratagem,2
Mrs Lamball.,The Stratagem,1
Mrs Lampe,The Beggars Opera,1
Mrs Lampe,The Devil to Pay,5
Mrs Lee,The Devil to Pay,1
Mrs Lee,The Stratagem,6
Mrs Lefevre,Hamlet,8
Mrs Lefevre,The Beggars Opera,30
Mrs Lefevre,The Devil to Pay,1
Mrs Lefevre,The Stratagem,1
Mrs Lefevre.,The Beggars Opera,2
Mrs Legar,The Stratagem,3
Mrs Legar.,The Stratagem,9
Mrs Lessingham,Hamlet,2
Mrs Lessingham,The Stratagem,11
Mrs Lessingham.,The Stratagem,9
Mrs Lewis,Hamlet,2
Mrs Lewis,The Beggars Opera,9
Mrs Lewis,The Stratagem,1
Mrs Lloyd,Hamlet,1
Mrs Lloyd,The Beggars Opera,3
Mrs Long,Macbeth,1
Mrs Love,Hamlet,1
Mrs Love,The Beggars Opera,105
Mrs Love,The Stratagem,16
Mrs Love ,The Beggars Opera,2
Mrs Love.,The Beggars Opera,4
Mrs Love.,The Devil to Pay,3
Mrs M. Giffard,The Stratagem,5
Mrs Macklin,Hamlet,3
Mrs Macklin,Macbeth,2
Mrs Macklin,The Beggars Opera,62
Mrs Macklin,The Stratagem,1
Mrs Macklin.,The Beggars Opera,20
Mrs Macklin.,The Stratagem,2
Mrs Maddocks,The Beggars Opera,10
Mrs Maddocks,The Devil to Pay,1
Mrs Mahon ,The Beggars Opera,4
Mrs Marshall,The Beggars Opera,33
Mrs Marshall,The Devil to Pay,2
Mrs Marshall,The Stratagem,4
Mrs Marshall.,The Stratagem,1
Mrs Marten,The Beggars Opera,1
Mrs Martin,The Beggars Opera,39
Mrs Martin,The Devil to Pay,1
Mrs Martin,The Stratagem,22
Mrs Martin ,The Beggars Opera,1
Mrs Martin.,The Stratagem,2
Mrs Martyr,The Beggars Opera,31
Mrs Martyr,The Devil to Pay,1
Mrs Martyr ,The Beggars Opera,4
Mrs Massey.,Macbeth,2
Mrs Masters,The Beggars Opera,2
Mrs Mather ,The Beggars Opera,1
Mrs Mattocks,Hamlet,11
Mrs Mattocks,Macbeth,1
Mrs Mattocks,The Beggars Opera,25
Mrs Mattocks,The Stratagem,27
Mrs Mattocks ,Hamlet,1
Mrs Mattocks ,The Devil to Pay,6
Mrs Mattocks ,The Stratagem,1
Mrs Mattocks.,Hamlet,8
Mrs Mattocks.,The Beggars Opera,3
Mrs Mattocks.,The Stratagem,2
Mrs Melmoth,Hamlet,1
Mrs Melmoth ,Macbeth,3
Mrs Miles,The Beggars Opera,6
Mrs Miller,The Stratagem,2
Mrs Mills,Hamlet,1
Mrs Mills,Macbeth,59
Mrs Mills,The Beggars Opera,10
Mrs Mills,The Devil to Pay,2
Mrs Mills,The Stratagem,57
Mrs Mills.,Macbeth,3
Mrs Mills.,The Stratagem,18
Mrs Moffet.,Macbeth,1
Mrs Monfort.,The Beggars Opera,1
Mrs Monlass,The Beggars Opera,4
Mrs Monlass,The Devil to Pay,3
Mrs Monlass,The Stratagem,1
Mrs Monlass ,Hamlet,1
Mrs Moore,The Stratagem,4
Mrs Moreau,Macbeth,6
Mrs Morgan,The Beggars Opera,7
Mrs Morgan,The Stratagem,9
Mrs Morgan.,The Beggars Opera,9
Mrs Morgan.  hathi.,The Beggars Opera,1
Mrs Morland,Hamlet,1
Mrs Morton,Hamlet,1
Mrs Morton,The Beggars Opera,18
Mrs Morton,The Devil to Pay,4
Mrs Mount,The Beggars Opera,1
Mrs Mountain,Hamlet,9
Mrs Mountain.,The Beggars Opera,2
Mrs Mountfort,Hamlet,4
Mrs Mountfort,The Beggars Opera,4
Mrs Mountfort,The Stratagem,12
Mrs Mountfort.,Hamlet,9
Mrs Mountfort.,The Beggars Opera,5
Mrs Mountfort.,The Stratagem,6
Mrs Mozeen,The Beggars Opera,9
Mrs Mullart,Hamlet,9
Mrs Mullart,The Beggars Opera,26
Mrs Mullart,The Devil to Pay,8
Mrs Mullart,The Stratagem,3
Mrs Mullart ,The Devil to Pay,1
Mrs Mullart.,The Beggars Opera,6
Mrs Mullart.,The Devil to Pay,5
Mrs Mullart.  hathi.,The Beggars Opera,3
Mrs Nevill ,The Beggars Opera,1
Mrs Nicholls,The Beggars Opera,1
Mrs Nokes,The Stratagem,4
Mrs Norris,The Beggars Opera,1
Mrs Norton,The Beggars Opera,2
Mrs Norton,The Devil to Pay,2
Mrs Nottingham.,The Beggars Opera,1
Mrs Oldfield,The Stratagem,47
Mrs Oldfield.,The Stratagem,1
Mrs Orfeur,The Stratagem,2
Mrs Palin,The Beggars Opera,1
Mrs Palmer,Macbeth,1
Mrs Palmer,The Beggars Opera,16
Mrs Palmer,The Devil to Pay,4
Mrs Palmer,The Stratagem,9
Mrs Palmer.,The Devil to Pay,22
Mrs Palmer.,The Stratagem,22
Mrs Parker,Hamlet,4
Mrs Parker,Macbeth,3
Mrs Parker,The Stratagem,1
Mrs Parsons,The Beggars Opera,7
Mrs Pearson,The Beggars Opera,1
Mrs Penkethman,The Beggars Opera,12
Mrs Peploe.,The Beggars Opera,1
Mrs Peters,The Stratagem,1
Mrs Phebe,The Devil to Pay,1
Mrs Phillips,The Beggars Opera,9
Mrs Phillips,The Devil to Pay,5
Mrs Phillips,The Stratagem,1
Mrs Phillips never here before,The Devil to Pay,3
Mrs Phillips.,Hamlet,3
Mrs Phillips.,The Beggars Opera,6
Mrs Phillips.,The Devil to Pay,1
Mrs Pile,The Beggars Opera,1
Mrs Pinto,The Beggars Opera,12
Mrs Pinto ,The Beggars Opera,1
Mrs Pit,The Beggars Opera,8
Mrs Pit also listed as of 11 Sept. 1750.,The Beggars Opera,3
Mrs Pitt,Hamlet,1
Mrs Pitt,The Beggars Opera,146
Mrs Pitt,The Devil to Pay,70
Mrs Pitt,The Stratagem,3
Mrs Pitt.,The Beggars Opera,5
Mrs Pitt.,The Devil to Pay,2
Mrs Pitt.,The Stratagem,1
Mrs Platt,Hamlet,22
Mrs Platt,Macbeth,15
Mrs Platt.,Macbeth,1
Mrs Pope ,Hamlet,3
Mrs Pope.,Hamlet,18
Mrs Pope.,Macbeth,26
Mrs Porter,Hamlet,45
Mrs Porter,Macbeth,30
Mrs Porter,The Stratagem,11
Mrs Porter.,Hamlet,5
Mrs Porter.,Macbeth,6
Mrs Porter.,The Stratagem,3
Mrs Poussin,Hamlet,25
Mrs Poussin,Macbeth,22
Mrs Poussin,The Beggars Opera,34
Mrs Poussin,The Stratagem,10
Mrs Poussin.  hathi.,The Beggars Opera,1
Mrs Powell,Hamlet,36
Mrs Powell,Macbeth,1
Mrs Powell,The Beggars Opera,3
Mrs Powell,The Stratagem,3
Mrs Powell.,The Stratagem,3
Mrs Pritchard,Hamlet,38
Mrs Pritchard,Macbeth,63
Mrs Pritchard,The Beggars Opera,68
Mrs Pritchard,The Devil to Pay,41
Mrs Pritchard,The Stratagem,25
Mrs Pritchard ,Hamlet,2
Mrs Pritchard ,The Devil to Pay,28
Mrs Pritchard.,Hamlet,69
Mrs Pritchard.,Macbeth,10
Mrs Pritchard.,The Beggars Opera,7
Mrs Pritchard.,The Devil to Pay,15
Mrs Pritchard.,The Stratagem,31
Mrs Pullen,The Beggars Opera,2
Mrs Pullen.,The Beggars Opera,3
Mrs Pullen.,The Devil to Pay,1
Mrs Pullen.,The Stratagem,1
Mrs Pullin.,The Beggars Opera,2
Mrs Purden,Macbeth,1
Mrs Purden,The Beggars Opera,5
Mrs Purden,The Stratagem,16
Mrs Purden.,Macbeth,1
Mrs Quelch,The Devil to Pay,1
Mrs Ratchford,The Beggars Opera,2
Mrs Ratcliff,The Stratagem,1
Mrs Rayner,The Beggars Opera,1
Mrs Rayner.,The Beggars Opera,1
Mrs Read ,The Devil to Pay,1
Mrs Reade,The Beggars Opera,4
Mrs Reade,The Devil to Pay,1
Mrs Reading,The Stratagem,1
Mrs Reddish,Hamlet,1
Mrs Reddish,Macbeth,10
Mrs Reddish,The Stratagem,15
Mrs Reynold,The Beggars Opera,1
Mrs Reynolds,The Devil to Pay,1
Mrs Reynolds.,The Beggars Opera,1
Mrs Rhodes,The Stratagem,1
Mrs Rice,Hamlet,1
Mrs Rice,The Beggars Opera,1
Mrs Ridout,Macbeth,3
Mrs Ridout,The Stratagem,24
Mrs Ridout.,The Stratagem,4
Mrs Roberts,Hamlet,6
Mrs Roberts,Macbeth,9
Mrs Roberts,The Beggars Opera,32
Mrs Roberts,The Devil to Pay,41
Mrs Roberts,The Stratagem,8
Mrs Roberts ,The Devil to Pay,5
Mrs Roberts.,Hamlet,1
Mrs Roberts.,The Beggars Opera,4
Mrs Roberts.,The Devil to Pay,10
Mrs Roberts.,The Stratagem,5
Mrs Robinson,The Beggars Opera,1
Mrs Robinson,The Stratagem,6
Mrs Robinson ,Hamlet,7
Mrs Robinson ,Macbeth,1
Mrs Robinson.,Hamlet,5
Mrs Rock,The Beggars Opera,2
Mrs Roffey,The Beggars Opera,9
Mrs Roffey,The Devil to Pay,6
Mrs Roffey.,The Devil to Pay,3
Mrs Rogeir.,The Stratagem,4
Mrs Roger.,The Beggars Opera,3
Mrs Rogers,The Beggars Opera,1
Mrs Rogier,The Stratagem,6
Mrs Ross.,The Devil to Pay,1
Mrs Rowley ,The Stratagem,1
Mrs Russell,The Devil to Pay,1
Mrs Sallee.,The Beggars Opera,1
Mrs Sampson,The Beggars Opera,2
Mrs Sanderson.,Hamlet,1
Mrs Sandham,The Beggars Opera,3
Mrs Santlow.,Hamlet,10
Mrs Saunders,The Beggars Opera,4
Mrs Saunders.,The Devil to Pay,2
Mrs Scott,The Beggars Opera,1
Mrs Scott ,The Beggars Opera,1
Mrs Scott.,The Beggars Opera,1
Mrs Serres.,The Beggars Opera,4
Mrs Seymour,Hamlet,5
Mrs Seymour,Macbeth,6
Mrs Seymour,The Stratagem,8
Mrs Sharp,Macbeth,6
Mrs Sharpe,The Beggars Opera,2
Mrs Shaw,The Beggars Opera,2
Mrs Shaw,The Devil to Pay,5
Mrs Shaw.,The Devil to Pay,13
Mrs Shawford,The Beggars Opera,3
Mrs Shawford.,The Beggars Opera,2
Mrs Shireburn,The Beggars Opera,4
Mrs Shireburn,The Stratagem,1
Mrs Shireburn.,The Stratagem,1
Mrs Siddons,Macbeth,34
Mrs Siddons ,Hamlet,2
Mrs Siddons ,Macbeth,25
Mrs Siddons.,Macbeth,7
Mrs Simpson,The Stratagem,1
Mrs Simpson.,The Stratagem,2
Mrs Simson,Macbeth,1
Mrs Simson,The Stratagem,22
Mrs Simson.,The Stratagem,9
Mrs Smith,Hamlet,7
Mrs Smith,The Beggars Opera,11
Mrs Smith.,Hamlet,7
Mrs Sparks,The Beggars Opera,9
Mrs Sparks.,The Beggars Opera,1
Mrs Spiller,Hamlet,1
Mrs Spiller.,Hamlet,1
Mrs Spiller.,The Stratagem,7
Mrs Steel,Hamlet,4
Mrs Steel,Macbeth,1
Mrs Steel,The Beggars Opera,2
Mrs Steele,The Beggars Opera,2
Mrs Stephens,The Beggars Opera,124
Mrs Stephens.,The Beggars Opera,1
Mrs Sterling,Hamlet,2
Mrs Stevens,Macbeth,25
Mrs Stoppelaer,The Stratagem,1
Mrs Storer ,The Beggars Opera,8
Mrs Storer.,Hamlet,2
Mrs Storer.,The Beggars Opera,1
Mrs Storer.,The Devil to Pay,4
Mrs Storey.,The Stratagem,1
Mrs Sutton,The Beggars Opera,2
Mrs Sydney,The Beggars Opera,2
Mrs Talbot,The Beggars Opera,2
Mrs Talbot,The Stratagem,1
Mrs Talbot ,The Stratagem,1
Mrs Templer,The Beggars Opera,35
Mrs Templer,The Stratagem,2
Mrs Templer ,The Stratagem,2
Mrs Templeton,The Beggars Opera,2
Mrs Tenoe.,The Stratagem,1
Mrs Thomas,The Beggars Opera,4
Mrs Thomas,The Stratagem,11
Mrs Thomas.,The Beggars Opera,8
Mrs Thomas.,The Stratagem,4
Mrs Thompson,The Beggars Opera,1
Mrs Thompson.,The Beggars Opera,1
Mrs Thomson,The Beggars Opera,1
Mrs Thurmond,Hamlet,4
Mrs Thurmond,Macbeth,3
Mrs Thurmond,The Beggars Opera,11
Mrs Thurmond.,Hamlet,3
Mrs Thurmond.,Macbeth,3
Mrs Thurmond.,The Beggars Opera,1
Mrs Thynne,The Beggars Opera,11
Mrs Tisdale,The Devil to Pay,1
Mrs Tollet.,The Stratagem,2
Mrs Toogood,The Stratagem,3
Mrs Twisdale,The Beggars Opera,4
Mrs Vallois,The Beggars Opera,64
Mrs Vallois,The Devil to Pay,5
Mrs Vallois ,The Beggars Opera,1
Mrs Valois,The Beggars Opera,5
Mrs Valois.,The Beggars Opera,6
Mrs Vaughan,The Beggars Opera,7
Mrs Vaughan.,The Beggars Opera,9
Mrs Vernon,The Beggars Opera,21
Mrs Vernon.,The Beggars Opera,1
Mrs Villeneuve,The Beggars Opera,23
Mrs Villeneuve.,The Devil to Pay,1
Mrs Vincent,Hamlet,36
Mrs Vincent,The Beggars Opera,132
Mrs Vincent,The Devil to Pay,10
Mrs Vincent,The Stratagem,20
Mrs Vincent.,Hamlet,17
Mrs Vincent.,The Beggars Opera,5
Mrs Vincent.,The Devil to Pay,38
Mrs Vincent.,The Stratagem,7
Mrs W. Palmer,The Beggars Opera,27
Mrs Walcot,The Beggars Opera,10
Mrs Walcot,The Devil to Pay,1
Mrs Waldron,The Beggars Opera,1
Mrs Walter,The Beggars Opera,28
Mrs Walter.,The Beggars Opera,2
Mrs Walter.,The Stratagem,5
Mrs Ward,Hamlet,3
Mrs Ward,Macbeth,3
Mrs Ward,The Devil to Pay,43
Mrs Ward,The Stratagem,2
Mrs Ward ,Hamlet,1
Mrs Ward.,Hamlet,13
Mrs Ward.,The Beggars Opera,4
Mrs Ward.,The Stratagem,13
Mrs Warner,The Beggars Opera,1
Mrs Watson,The Beggars Opera,1
Mrs Watts,The Beggars Opera,2
Mrs Webb,Hamlet,2
Mrs Webb,Macbeth,1
Mrs Webb,The Beggars Opera,90
Mrs Webb,The Devil to Pay,1
Mrs Webb,The Stratagem,1
Mrs Webb ,The Beggars Opera,1
Mrs Webb.,The Beggars Opera,2
Mrs Webb.,The Stratagem,1
Mrs Weekley.,The Stratagem,1
Mrs Weichsel,The Beggars Opera,1
Mrs Weller,The Beggars Opera,1
Mrs Wells,The Beggars Opera,8
Mrs Wells ,The Beggars Opera,4
Mrs Wells ,The Devil to Pay,1
Mrs Wells. A new Occasional Epilogue-Prologue,The Beggars Opera,1
Mrs Weston,The Devil to Pay,4
Mrs Wetherilt,The Beggars Opera,7
Mrs Wetherilt,The Devil to Pay,1
Mrs Wetherilt,The Stratagem,12
Mrs Wetherilt ,The Devil to Pay,13
Mrs Wetherilt.,The Devil to Pay,3
Mrs Wetherilt.,The Stratagem,2
Mrs Wewitzer,The Beggars Opera,1
Mrs Wheatley. Prologue as17830531 ,Hamlet,1
Mrs White,Hamlet,3
Mrs White,The Beggars Opera,39
Mrs White,The Devil to Pay,2
Mrs White,The Stratagem,1
Mrs White.,The Beggars Opera,27
Mrs Whitefield,The Beggars Opera,5
Mrs Whitfield,The Beggars Opera,15
Mrs Wignell,The Beggars Opera,14
Mrs Williams,The Beggars Opera,1
Mrs Williamson,The Beggars Opera,7
Mrs Williamson.,The Beggars Opera,1
Mrs Willis,The Stratagem,1
Mrs Willis.,The Stratagem,2
Mrs Wilson,Macbeth,1
Mrs Wilson,The Beggars Opera,41
Mrs Wilson,The Stratagem,4
Mrs Wilson ,The Beggars Opera,1
Mrs Wilson ,The Devil to Pay,1
Mrs Wilson.,The Devil to Pay,4
Mrs Woffington,Hamlet,5
Mrs Woffington,Macbeth,15
Mrs Woffington,The Beggars Opera,1
Mrs Woffington,The Stratagem,43
Mrs Woffington ,Hamlet,1
Mrs Woffington.,Hamlet,18
Mrs Woffington.,The Stratagem,12
Mrs Woodman,The Beggars Opera,7
Mrs Woodman ,The Beggars Opera,1
Mrs Woodward,Hamlet,4
Mrs Woodward,The Beggars Opera,6
Mrs Woodward,The Stratagem,1
Mrs Woodward.,Hamlet,1
Mrs Woodward.,The Beggars Opera,3
Mrs Woodward.  hathi.,The Beggars Opera,3
Mrs Wright,The Beggars Opera,12
Mrs Wright.,The Beggars Opera,1
Mrs Wrighten,The Beggars Opera,43
Mrs Wrighten ,The Devil to Pay,3
Mrs Wrighten.,The Beggars Opera,1
Mrs Wrighten.,The Devil to Pay,5
Mrs Yates,Hamlet,33
Mrs Yates,Macbeth,30
Mrs Yates,The Beggars Opera,28
Mrs Yates,The Devil to Pay,12
Mrs Yates,The Stratagem,1
Mrs Yates ,Hamlet,1
Mrs Yates ,Macbeth,11
Mrs Yates.,Hamlet,3
Mrs Yates.,Macbeth,10
Mrs Yates.,The Beggars Opera,4
Mrs Yeates,The Devil to Pay,1
Mrs Yeates.,The Beggars Opera,3
Mrs Younger,The Beggars Opera,2
Mrs Younger,The Devil to Pay,1
Mrs Younger,The Stratagem,37
Mrs Younger.,The Devil to Pay,2
Mrs Younger.,The Stratagem,3
Mrs _Saunders,The Devil to Pay,1
Mrs _Vincent,Macbeth,1
Mrs _Wrighten,Macbeth,1
MrsBennet,Hamlet,64
MrsBennet,Macbeth,38
MrsBennet,The Beggars Opera,38
MrsBennet,The Devil to Pay,82
MrsBennet,The Stratagem,8
MrsDunstall,The Beggars Opera,112
MrsDunstall,The Devil to Pay,48
MrsDunstall,The Stratagem,5
